Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
freer-simple/1,1.390145499236403e-6,1.3862331914729912e-6,1.3941204459439313e-6,1.4310532620647333e-8,1.1412229630886104e-8,1.8250907447371674e-8
freer-simple/10,1.369138727305052e-5,1.3659290965772846e-5,1.3726865277279264e-5,1.1783744148947837e-7,9.081976232042932e-8,1.8455221017630855e-7
freer-simple/100,1.391335354119601e-4,1.386087983950183e-4,1.3954878403134148e-4,1.4869663747188437e-6,1.2503352879353096e-6,1.7558801347905902e-6
fused-effects/1,2.019460399945984e-6,2.0160440958113324e-6,2.0233534078175562e-6,1.2014858464535207e-8,9.258549075839354e-9,1.8715976319388274e-8
fused-effects/10,2.0495292029130156e-5,2.044388499285005e-5,2.0585652747534173e-5,2.30952616233631e-7,1.3961135177923063e-7,3.478325751010637e-7
fused-effects/100,2.1931758314583068e-4,2.189684519159859e-4,2.1973277005787303e-4,1.2126086947523203e-6,9.821854507416555e-7,1.5202855955427626e-6
simple-effects/1,5.958833770528834e-6,5.948253261462777e-6,5.972593229753635e-6,3.941408609904124e-8,3.0491369774026867e-8,5.376922278066081e-8
simple-effects/10,5.711023385538888e-5,5.704793471027392e-5,5.7171699720485795e-5,2.2139078086840218e-7,1.9213524906509514e-7,2.6547909282680417e-7
simple-effects/100,6.155688670266444e-4,6.150016631703791e-4,6.161627023609715e-4,2.033620174313349e-6,1.7238835862193077e-6,2.5669381926258294e-6
polysemy/1,3.5239899926266898e-6,3.448563879493145e-6,3.6096494159312013e-6,2.707470586031468e-7,2.591575631166123e-7,2.866571384803382e-7
polysemy/10,3.076877348719814e-5,3.0740747749966296e-5,3.080454145241861e-5,1.0703425917039013e-7,8.651771285043827e-8,1.422364019915539e-7
polysemy/100,3.1821994384602544e-4,3.169661337775945e-4,3.202325276806243e-4,5.175067430731181e-6,3.5595466589748253e-6,7.305739995664923e-6
preff/1,1.375313881038985e-6,1.372433068179262e-6,1.3799945020879236e-6,1.212823491931647e-8,7.689864557149251e-9,1.9437037803801857e-8
preff/10,1.3817757935363438e-5,1.3756505384776456e-5,1.3926188196518777e-5,2.6883174591816067e-7,1.7441431108311967e-7,3.9202032612802983e-7
preff/100,1.7526304175095457e-4,1.744292360642551e-4,1.75999455675397e-4,2.5421812254293233e-6,1.854628098217196e-6,3.7710148425123654e-6
