Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
freer-simple/1,1.3336378320863644e-6,1.3310217429650985e-6,1.3355248031866154e-6,7.771030766783231e-9,5.914447705799617e-9,1.024528684432104e-8
freer-simple/10,1.3698235886848073e-5,1.3684036750115481e-5,1.3711969860116215e-5,4.76329325266873e-8,3.961731432365879e-8,5.870043713403155e-8
freer-simple/100,1.3364778405132368e-4,1.335465278475943e-4,1.337302905808527e-4,3.068845571617762e-7,2.5864269213827116e-7,3.8636887052295e-7
fused-effects/1,2.0182311852753886e-6,2.0165984796485862e-6,2.0217506932157618e-6,7.629270321916238e-9,3.9680798324729115e-9,1.4096943858469813e-8
fused-effects/10,2.04825484627739e-5,2.046606763324221e-5,2.0499182452553287e-5,5.557459747901857e-8,4.75621766522283e-8,6.744109693560326e-8
fused-effects/100,2.1785216112070783e-4,2.1777907617336626e-4,2.1792561986319202e-4,2.6947529346970627e-7,2.218472583861249e-7,3.424285572472971e-7
simple-effects/1,5.898071080352264e-6,5.8923485120081545e-6,5.902595786517284e-6,1.6736341137566106e-8,1.1264953479017959e-8,2.8410367878486568e-8
simple-effects/10,5.640518454131709e-5,5.623031271063881e-5,5.707821358277333e-5,1.0302513387726791e-6,1.649845113791952e-7,2.1397367702602566e-6
simple-effects/100,6.071780652878182e-4,6.064754966507431e-4,6.078529276139797e-4,2.2611251693592046e-6,1.6888793212914489e-6,3.237123061150232e-6
polysemy/1,3.3136287121907483e-6,3.3081906961835115e-6,3.3192148619857083e-6,1.9425602544937826e-8,1.7394030424441642e-8,2.1812725878161828e-8
polysemy/10,3.0915396130294065e-5,3.088293285240054e-5,3.094672083149866e-5,1.0962951725171317e-7,9.043761025078362e-8,1.362447899495642e-7
polysemy/100,3.173987502732695e-4,3.1699178663133345e-4,3.177426033052557e-4,1.1983623212144542e-6,8.222937910593695e-7,1.8932008301126192e-6
preff/1,1.3441614932381678e-6,1.3404498052320996e-6,1.3482786029443312e-6,1.2620881677093082e-8,9.549006965072996e-9,1.9886277720902746e-8
preff/10,1.3707351612053407e-5,1.3677012503172994e-5,1.3732259843187912e-5,9.119433931729325e-8,7.561317715900815e-8,1.2185197427078808e-7
preff/100,1.6565075330132276e-4,1.6553353432846587e-4,1.6575333123359896e-4,3.766733206453558e-7,3.155118217566072e-7,4.739608113325062e-7
